species,mode,energy_start,energy_end,mean_speed,mean_regen,damage_dealt,damage_taken,control,ticks
9,scripted,600,439,82.61,1.865,59,51,0,600
10,combat_strafe,600,285,109.59,0.36,0,51,0,600
10,face_travel,600,1000,132.035,4.9,0,34,0,600
10,planted,600,1000,0.79,4.985,0,100,0,600
10,scripted,600,188,80.87,1.46,86,37,0,600
11,combat_strafe,600,350,93.7727,0.154545,0,117,0,332
11,face_travel,600,1000,133.72,4.74,0,103,0,600
11,planted,600,1000,0,5.05952,0,117,0,253
11,scripted,600,178,73.085,2.035,36,120,0,600
12,combat_strafe,600,147,67.925,0.225,0,42,0,600
12,face_travel,600,1000,123.72,4.655,0,32,0,600
12,planted,600,1000,0,5,0,58,0,600
12,scripted,600,224,51.42,2.67,44,43,0,600
13,combat_strafe,600,351,96.8632,0.0736842,0,104,0,287
13,face_travel,600,1000,123.015,4.81,0,71,0,600
13,planted,600,1000,0,5,0,84,0,600
13,scripted,600,144,47.15,1.51,58,104,0,302
14,combat_strafe,600,197,116.72,0.215,0,30,0,600
14,face_travel,600,1000,139.785,4.875,0,18,0,600
14,planted,600,1000,0,5.04464,0,113,0,338
14,scripted,600,110,81.22,2.29,32,37,0,600
15,combat_strafe,600,254,51.5124,0.0247934,0,118,0,365
15,face_travel,600,1000,102.82,4.825,0,109,0,600
15,planted,600,1000,0,5.03356,0,118,0,448
15,scripted,600,40,49.5954,2.72832,48,118,0,521
16,combat_strafe,600,133,133.875,0.215,0,38,0,600
16,face_travel,600,1000,150.23,4.955,0,38,0,600
16,planted,600,1000,0,5.07812,0,115,0,193
16,scripted,600,213,66.35,1.84,52,28,0,600
17,combat_strafe,600,148,60.805,0.225,0,97,0,600
17,face_travel,600,1000,126.505,4.09,0,0,0,600
17,planted,600,1000,0,5.05155,0,120,0,292
17,scripted,600,221,60.36,1.895,99,64,0,600
18,combat_strafe,600,98,101.325,0,0,14,0,600
18,face_travel,600,1000,128.59,2.975,0,0,0,600
18,planted,600,1000,0,3,0,28,0,600
18,scripted,600,99,85.27,0.46,14,14,0,600
19,combat_strafe,600,132,71.835,0.2,0,45,0,600
19,face_travel,600,1000,106.15,4.78,0,69,0,600
19,planted,600,1000,0,5,0,54,0,600
19,scripted,600,138,64.995,1.115,15,40,0,600
20,combat_strafe,600,486,54.74,0.505,0,63,0,600
20,face_travel,600,1000,109.34,4.81,0,74,0,600
20,planted,600,1000,0,5.04808,0,102,0,314
20,scripted,600,118,51.25,1.605,39,17,0,600
21,combat_strafe,600,133,134.725,0.205,0,0,0,600
21,face_travel,600,1000,143.92,4.925,0,0,0,600
21,planted,600,1000,0,5,0,124,0,345
21,scripted,600,304,117.665,1.96,15,38,0,600
22,combat_strafe,600,111,84.295,0.085,0,69,0,600
22,face_travel,600,1000,95.58,2.735,0,51,0,600
22,planted,600,1000,0,3,0,66,0,600
22,scripted,600,183,57.53,1.69,52,26,0,600
23,combat_strafe,600,133,138.925,0.2,0,23,0,600
23,face_travel,600,1000,147.33,4.91,0,23,0,600
23,planted,600,1000,0,5,0,105,0,270
23,scripted,600,202,83.26,2.625,24,83,0,600
24,combat_strafe,600,533,51.15,0.705,0,74,0,600
24,face_travel,600,1000,106.53,4.6,0,31,0,600
24,planted,600,1000,0,5,0,121,0,600
24,scripted,600,197,50.805,1.995,17,55,0,600
25,combat_strafe,600,278,48,0.325,0,42,0,600
25,face_travel,600,1000,109.265,4.23,0,82,0,600
25,planted,600,1000,0,5.07246,0,104,0,208
25,scripted,600,176,52.42,2.535,49,60,0,600
26,combat_strafe,600,132,134.095,0.195,0,41,0,600
26,face_travel,600,1000,157.355,4.885,0,52,0,600
26,planted,600,1000,0,5,0,85,0,600
26,scripted,600,78,97.535,1.45,22,52,0,600
27,combat_strafe,600,247,84.475,0.285,0,114,0,600
27,face_travel,600,1000,110.005,4.77,0,35,0,600
27,planted,600,1000,0,5,0,121,0,600
27,scripted,600,163,63.315,1.28,17,0,0,600
28,combat_strafe,600,129,65.92,0.2,0,84,0,600
28,face_travel,600,1000,117.47,4.525,0,0,0,600
28,planted,600,1000,0,5,0,95,0,600
28,scripted,600,10,43.11,1.305,19,10,0,600
29,combat_strafe,600,379,77.63,0.44,0,20,0,600
29,face_travel,600,1000,115.2,4.94,0,18,0,600
29,planted,600,1000,0,5.03086,0,102,0,487
29,scripted,600,326,60.385,2.99,16,18,0,600
30,combat_strafe,600,97,118.68,0,0,32,0,600
30,face_travel,600,1000,134.425,2.965,0,31,0,600
30,planted,600,1000,0,3,0,122,0,600
30,scripted,600,0,72.625,0.91,55,80,0,600
31,combat_strafe,600,151,54.68,0.155,0,105,0,600
31,face_travel,600,1000,109.11,4.835,0,120,0,600
31,planted,600,1000,0,5,0,75,0,600
31,scripted,600,74,51.155,2.015,75,99,0,600
32,combat_strafe,600,609,103.175,0.82,0,40,0,600
32,face_travel,600,1000,117.675,4.68,0,26,0,600
32,planted,600,1000,0,5,0,73,0,600
32,scripted,600,13,60.765,1.455,23,72,0,600
33,combat_strafe,600,234,108.555,0.31,0,39,0,600
33,face_travel,600,1000,129.155,4.95,0,105,0,600
33,planted,600,1000,0,5,0,152,0,405
33,scripted,600,41,91.325,1.68,14,55,0,600
34,combat_strafe,600,164,51.8395,0.0864198,0,140,0,488
34,face_travel,600,1000,115.485,3.39,0,42,0,600
34,planted,600,1000,0,5,0,130,0,600
34,scripted,600,254,47.77,1.54,35,36,0,600
35,combat_strafe,600,261,122.687,0.312821,0,101,0,587
35,face_travel,600,1000,141.307,4.90625,0,101,0,578
35,planted,600,1000,0,5.06494,0,101,0,232
35,scripted,600,131,102.585,0.995,14,24,0,600
36,combat_strafe,600,134,105.47,0.176768,0,93,0,594
36,face_travel,600,1000,128.19,4.795,0,41,0,600
36,planted,600,1000,0,5.06579,0,93,0,229
36,scripted,600,301,80.4,2.425,42,56,0,600
37,combat_strafe,600,142,112.53,0.145,0,64,0,600
37,face_travel,600,1000,126.435,4.64,0,80,0,600
37,planted,600,1000,0,5,0,61,0,600
37,scripted,600,25,63.6,1.515,34,93,0,600
38,combat_strafe,600,295,48.96,0.32,0,72,0,600
38,face_travel,600,1000,112.145,4.015,0,2,0,600
38,planted,600,1000,0,5,0,72,0,600
38,scripted,600,52,27.105,1.17,77,84,0,600
39,combat_strafe,600,133,75.245,0.185,0,66,0,600
39,face_travel,600,1000,113.8,4.795,0,74,0,600
39,planted,600,1000,0,5,0,86,0,600
39,scripted,600,202,69.305,3.075,72,35,0,600
